Province_State,Country_Region,Confirmed,Deaths,Latitude,Longitude
,Afghanistan,14048.0,779.0,33.93911,67.709953
,Albania,48710.0,891.0,41.1533,20.1683
,Algeria,54777.0,1238.0,28.0339,1.6596
,Andorra,6865.0,31.0,42.5063,1.5218
,Angola,14824.0,296.0,-11.2027,17.8739
,Antigua and Barbuda,65.0,2.0,17.0608,-61.7964
,Argentina,1197275.0,34326.0,-38.4161,-63.6167
,Armenia,115531.0,1942.0,40.0691,45.0382
Australian Capital Territory,Australia,5.0,0.0,-35.4735,149.0124
New South Wales,Australia,849.0,2.0,-33.8688,151.2093
Northern Territory,Australia,42.0,0.0,-12.4634,130.8456
Queensland,Australia,127.0,0.0,-27.4698,153.0251
South Australia,Australia,117.0,0.0,-34.9285,138.6007
Tasmania,Australia,4.0,0.0,-42.8821,147.3272
Victoria,Australia,1152.0,244.0,-37.8136,144.9631
Western Australia,Australia,206.0,0.0,-31.9505,115.8605
,Austria,333173.0,5488.0,47.5162,14.5501
,Azerbaijan,182122.0,2105.0,40.1431,47.5769
,Bahamas,5595.0,120.0,25.025885,-78.035889
,Bahrain,40235.0,162.0,26.0275,50.55
,Bangladesh,198564.0,3243.0,23.685,90.3563
,Barbados,207.0,0.0,13.1939,-59.5432
,Belarus,122322.0,738.0,53.7098,27.9534
Antwerp,Belgium,-6125.0,-9897.0,51.2195,4.4024
Brussels,Belgium,80370.0,-13.0,50.8503,4.3517
East Flanders,Belgium,62822.0,-40.0,51.0362,3.7373
Flemish Brabant,Belgium,48921.0,0.0,50.9167,4.5833
Hainaut,Belgium,-15301.0,-5101.0,50.5257,4.0621
Liege,Belgium,76652.0,-620.0,50.4496,5.8492
Limburg,Belgium,27495.0,-6.0,50.9739,5.3420000000000005
Luxembourg,Belgium,-6465.0,-616.0,50.0547,5.4677
Namur,Belgium,-43872.0,-1895.0,50.331,4.8221
Unknown,Belgium,-32840.0,18865.0,,
Walloon Brabant,Belgium,-95831.0,-3661.0,50.4,4.35
West Flanders,Belgium,-205413.0,-5448.0,51.0536,3.1458
,Belize,-206519.0,-8211.0,17.1899,-88.4976
,Benin,-160247.0,-2529.0,9.3077,2.3158
,Bhutan,-111402.0,-3184.0,27.5142,90.4336
,Bolivia,23383.0,5923.0,-16.2902,-63.5887
,Bosnia and Herzegovina,-41696.0,593.0,43.9159,17.6791
,Botswana,-79124.0,-2795.0,-22.3285,24.6849
Acre,Brazil,-9025.0,-108.0,-9.0238,-70.812
Alagoas,Brazil,-113963.0,-2875.0,-9.5713,-36.782
Amapa,Brazil,-134235.0,-5276.0,0.902,-52.003
Amazonas,Brazil,94408.0,2820.0,-3.4168,-65.8561
Bahia,Brazil,359826.0,5784.0,-12.5797,-41.7007
Ceara,Brazil,208705.0,2379.0,-5.4984,-39.3206
Distrito Federal,Brazil,172779.0,2413.0,-15.7998,-47.8645
Espirito Santo,Brazil,185606.0,2798.0,-19.1834,-40.3089
Goias,Brazil,181311.0,3304.0,-15.827,-49.8362
Maranhao,Brazil,-25862.0,-11717.0,-4.9609,-45.2744
Mato Grosso,Brazil,124683.0,3365.0,-12.6819,-56.9211
Mato Grosso do Sul,Brazil,90714.0,1752.0,-20.7722,-54.7852
Minas Gerais,Brazil,362435.0,9601.0,-18.5122,-44.555
Para,Brazil,-520573.0,-23176.0,-1.9981,-54.9306
Paraiba,Brazil,93763.0,1805.0,-7.24,-36.782
Parana,Brazil,364441.0,7273.0,-25.2521,-52.0215
Pernambuco,Brazil,222022.0,9651.0,-8.8137,-36.9541
Piaui,Brazil,126725.0,2198.0,-7.7183,-42.7289
Rio Grande do Norte,Brazil,117629.0,2952.0,-5.4026,-36.9541
Rio Grande do Sul,Brazil,448755.0,8866.0,-30.0346,-51.2177
Rio de Janeiro,Brazil,434203.0,25529.0,-22.9068,-43.1729
Rondonia,Brazil,91759.0,1777.0,-11.5057,-63.5806
Roraima,Brazil,68436.0,787.0,-2.7376,-62.0751
Santa Catarina,Brazil,473174.0,4839.0,-27.2423,-50.2189
Sao Paulo,Brazil,1448231.0,46476.0,-23.5505,-46.6333
Sergipe,Brazil,106657.0,2275.0,-10.5741,-37.3857
Tocantins,Brazil,90536.0,1235.0,-10.1753,-48.2982
,Brunei,144.0,3.0,4.5353,114.7277
,Bulgaria,201034.0,7562.0,42.7339,25.4858
,Burkina Faso,6516.0,83.0,12.2383,-1.5616
,Burma,124361.0,2679.0,21.9162,95.956
,Burundi,813.0,2.0,-3.3731,29.9189
,Cabo Verde,10755.0,48.0,16.5388,-23.0418
,Cambodia,378.0,0.0,11.55,104.9167
,Cameroon,-16144.0,-2364.0,3.848,11.5021
Alberta,Canada,100384.0,1046.0,53.9333,-116.5765
British Columbia,Canada,-10587.0,-4879.0,53.7267,-127.6476
Diamond Princess,Canada,-1622.0,-23.0,,
Grand Princess,Canada,-2.0,0.0,,
Manitoba,Canada,19989.0,605.0,53.7609,-98.8139
New Brunswick,Canada,-418.0,-68.0,46.5653,-66.4619
Newfoundland and Labrador,Canada,-17802.0,-442.0,53.1355,-57.6604
Northwest Territories,Canada,-5161.0,-94.0,64.8255,-124.8457
Nova Scotia,Canada,-5235.0,-43.0,44.682,-63.7443
Nunavut,Canada,-5472.0,-46.0,70.2998,-83.1076
Ontario,Canada,182035.0,4529.0,51.2538,-85.3232
Prince Edward Island,Canada,-17538.0,-213.0,46.5107,-63.4168
Quebec,Canada,195650.0,8217.0,52.9399,-73.5491
Repatriated Travellers,Canada,-6646.0,-68.0,,
Saskatchewan,Canada,14226.0,140.0,52.9399,-106.4509
Yukon,Canada,-3583.0,-39.0,64.2823,-135.0
,Central African Republic,-6843.0,-200.0,6.6111,20.9394
,Chad,-272032.0,-8455.0,15.4542,18.7322
Antofagasta,Chile,18934.0,504.0,-23.6509,-70.3975
Araucania,Chile,9431.0,-37.0,-38.9489,-72.3311
Arica y Parinacota,Chile,92.0,21.0,-18.594,-69.4785
Atacama,Chile,8447.0,112.0,-27.5661,-70.0503
Aysen,Chile,-21515.0,-688.0,-45.9864,-73.7669
Biobio,Chile,46400.0,789.0,-37.4464,-72.1416
Coquimbo,Chile,13297.0,288.0,-29.959,-71.3389
Los Lagos,Chile,25231.0,256.0,-41.9198,-72.1416
Los Rios,Chile,8469.0,88.0,-40.231,-72.3311
Magallanes,Chile,16701.0,231.0,-52.368,-70.9863
Maule,Chile,23721.0,544.0,-35.5183,-71.6885
Metropolitana,Chile,318799.0,10798.0,-33.4376,-70.6505
Nuble,Chile,10561.0,212.0,-36.7226,-71.7622
OHiggins,Chile,21360.0,581.0,-34.5755,-71.0022
Tarapaca,Chile,15368.0,278.0,-19.9232,-69.5132
Unknown,Chile,-904.0,-12.0,,
Valparaiso,Chile,34451.0,1232.0,-33.0472,-71.6127
Anhui,China,-3829.0,-84.0,31.8257,117.2264
Beijing,China,-67152.0,-4503.0,40.1824,116.4142
Chongqing,China,-429.0,2.0,30.0572,107.874
Fujian,China,252.0,0.0,26.0789,117.9874
Gansu,China,-483.0,2.0,35.7518,104.2861
Guangdong,China,1111.0,7.0,23.3417,113.4244
Guangxi,China,107.0,0.0,23.8298,108.7881
Guizhou,China,-115.0,0.0,26.8154,106.8748
Hainan,China,125.0,6.0,19.1959,109.7453
Hebei,China,298.0,6.0,37.8957,114.9042
Heilongjiang,China,946.0,13.0,47.862,127.7615
Henan,China,934.0,19.0,33.882,113.614
Hong Kong,China,8015.0,141.0,22.3,114.2
Hubei,China,67241.0,4505.0,30.9756,112.2707
Hunan,China,818.0,4.0,27.6104,111.7088
Inner Mongolia,China,-289.0,-2.0,44.0935,113.9448
Jiangsu,China,455.0,-3.0,32.9711,119.455
Jiangxi,China,934.0,1.0,27.614,115.7221
Jilin,China,-745.0,-1.0,43.6661,126.1923
Liaoning,China,152.0,0.0,41.2956,122.6085
Macau,China,-1232.0,-1.0,22.1667,113.55
Ningxia,China,-2629.0,-111.0,37.2692,106.1655
Qinghai,China,-81891.0,-1746.0,35.7452,95.9956
Shaanxi,China,-463.0,-15.0,35.1917,108.8701
Shandong,China,-63393.0,-2900.0,36.3427,118.1498
Shanghai,China,-23938.0,-704.0,31.202,121.4491
Shanxi,China,-3688.0,-79.0,37.5777,112.2922
Sichuan,China,-2169.0,-56.0,30.6171,102.7103
Tianjin,China,-213322.0,-5545.0,39.3054,117.323
Tibet,China,-6164.0,-204.0,31.6927,88.0924
Xinjiang,China,-108.0,-21.0,41.1129,85.2401
Yunnan,China,-5176.0,-160.0,24.974,101.487
Zhejiang,China,-9905.0,-312.0,29.1832,120.0934
Amazonas,Colombia,-497.0,-13.0,-1.4429,-71.5724
Antioquia,Colombia,241639.0,3441.0,7.1986,-75.3412
Arauca,Colombia,-19236.0,-529.0,7.0762,-70.7105
Atlantico,Colombia,93819.0,3430.0,10.6966,-74.8741
Bolivar,Colombia,51520.0,1091.0,8.6704,-74.03
Boyaca,Colombia,23223.0,471.0,5.4545,-73.362
Caldas,Colombia,27265.0,405.0,5.2983,-75.2479
Capital District,Colombia,458626.0,9098.0,4.711,-74.0721
Caqueta,Colombia,5673.0,317.0,0.8699,-73.8419
Casanare,Colombia,-5559.0,-345.0,5.7589,-71.5724
Cauca,Colombia,6657.0,-162.0,2.705,-76.82600000000002
Cesar,Colombia,30554.0,858.0,9.3373,-73.6536
Choco,Colombia,3534.0,128.0,5.2528,-76.82600000000002
Cordoba,Colombia,23077.0,1563.0,8.0493,-75.574
Cundinamarca,Colombia,66941.0,1711.0,5.026,-74.03
Guainia,Colombia,-17854.0,-765.0,2.5854,-68.5247
Guaviare,Colombia,-9815.0,-458.0,1.0654,-73.2603
Huila,Colombia,27435.0,937.0,2.5359,-75.5277
La Guajira,Colombia,-33505.0,-1240.0,11.3548,-72.5205
Magdalena,Colombia,24424.0,1071.0,10.4113,-74.4057
Meta,Colombia,33833.0,739.0,3.272,-73.0877
Narino,Colombia,30881.0,967.0,1.2892,-77.3579
Norte de Santander,Colombia,36368.0,1932.0,7.9463,-72.8988
Putumayo,Colombia,-4224.0,-15.0,0.436,-75.5277
Quindio,Colombia,-18540.0,209.0,4.461,-75.6674
Risaralda,Colombia,16107.0,635.0,5.3158,-75.9928
