Province_State,Country_Region,Confirmed,Deaths,Latitude,Longitude
,Afghanistan,4824.0,233.0,33.93911,67.709953
,Albania,62855.0,716.0,41.1533,20.1683
,Algeria,21905.0,974.0,28.0339,1.6596
,Andorra,8694.0,10.0,42.5063,1.5218
,Angola,33812.0,543.0,-11.2027,17.8739
,Antigua and Barbuda,2564.0,75.0,17.0608,-61.7964
,Argentina,463460.0,5164.0,-38.4161,-63.6167
,Armenia,102180.0,3115.0,40.0691,45.0382
Australian Capital Territory,Australia,3577.0,12.0,-35.4735,149.0124
New South Wales,Australia,180661.0,507.0,-33.8688,151.2093
Northern Territory,Australia,370.0,1.0,-12.4634,130.8456
Queensland,Australia,11881.0,0.0,-27.4698,153.0251
South Australia,Australia,10207.0,2.0,-34.9285,138.6007
Tasmania,Australia,550.0,0.0,-42.8821,147.3272
Victoria,Australia,161615.0,712.0,-37.8136,144.9631
Western Australia,Australia,75.0,0.0,-31.9505,115.8605
,Austria,588466.0,2958.0,47.5162,14.5501
,Azerbaijan,188211.0,2681.0,40.1431,47.5769
,Bahamas,6337.0,336.0,25.025885,-78.035889
,Bahrain,9427.0,6.0,26.0275,50.55
,Bangladesh,81859.0,1798.0,23.685,90.3563
,Barbados,23493.0,209.0,13.1939,-59.5432
,Belarus,215879.0,1787.0,53.7098,27.9534
Antwerp,Belgium,146258.0,0.0,51.2195,4.4024
Brussels,Belgium,95302.0,0.0,50.8503,4.3517
East Flanders,Belgium,124897.0,0.0,51.0362,3.7373
Flemish Brabant,Belgium,90784.0,0.0,50.9167,4.5833
Hainaut,Belgium,84233.0,0.0,50.5257,4.0621
Liege,Belgium,86708.0,0.0,50.4496,5.8492
Limburg,Belgium,72255.0,0.0,50.9739,5.3420000000000005
Luxembourg,Belgium,22998.0,0.0,50.0547,5.4677
Namur,Belgium,38206.0,0.0,50.331,4.8221
Unknown,Belgium,11447.0,2949.0,,
Walloon Brabant,Belgium,35246.0,0.0,50.4,4.35
West Flanders,Belgium,109503.0,0.0,51.0536,3.1458
,Belize,16347.0,240.0,17.1899,-88.4976
,Benin,9003.0,30.0,9.3077,2.3158
,Bhutan,64.0,0.0,27.5142,90.4336
,Bolivia,108413.0,1207.0,-16.2902,-63.5887
,Bosnia and Herzegovina,76554.0,3627.0,43.9159,17.6791
,Botswana,62582.0,183.0,-22.3285,24.6849
Acre,Brazil,553.0,37.0,-9.0238,-70.812
Alagoas,Brazil,6180.0,305.0,-9.5713,-36.782
Amapa,Brazil,4542.0,69.0,0.902,-52.003
Amazonas,Brazil,9385.0,148.0,-3.4168,-65.8561
Bahia,Brazil,49261.0,1009.0,-12.5797,-41.7007
Ceara,Brazil,24522.0,779.0,-5.4984,-39.3206
Distrito Federal,Brazil,48155.0,1046.0,-15.7998,-47.8645
Espirito Santo,Brazil,66064.0,1060.0,-19.1834,-40.3089
Goias,Brazil,125316.0,2162.0,-15.827,-49.8362
Maranhao,Brazil,21108.0,337.0,-4.9609,-45.2744
Mato Grosso,Brazil,36535.0,559.0,-12.6819,-56.9211
Mato Grosso do Sul,Brazil,11259.0,337.0,-20.7722,-54.7852
Minas Gerais,Brazil,154755.0,3577.0,-18.5122,-44.555
Para,Brazil,40814.0,612.0,-1.9981,-54.9306
Paraiba,Brazil,30606.0,406.0,-7.24,-36.782
Parana,Brazil,139103.0,3334.0,-25.2521,-52.0215
Pernambuco,Brazil,37095.0,1036.0,-8.8137,-36.9541
Piaui,Brazil,17572.0,325.0,-7.7183,-42.7289
Rio Grande do Norte,Brazil,21908.0,301.0,-5.4026,-36.9541
Rio Grande do Sul,Brazil,97452.0,2217.0,-30.0346,-51.2177
Rio de Janeiro,Brazil,222548.0,6872.0,-22.9068,-43.1729
Rondonia,Brazil,21176.0,256.0,-11.5057,-63.5806
Roraima,Brazil,4994.0,129.0,-2.7376,-62.0751
Santa Catarina,Brazil,85869.0,1462.0,-27.2423,-50.2189
Sao Paulo,Brazil,186970.0,9190.0,-23.5505,-46.6333
Sergipe,Brazil,1060.0,62.0,-10.5741,-37.3857
Tocantins,Brazil,16093.0,246.0,-10.1753,-48.2982
,Brunei,12612.0,87.0,4.5353,114.7277
,Bulgaria,289621.0,12005.0,42.7339,25.4858
,Burkina Faso,3855.0,147.0,12.2383,-1.5616
,Burma,128194.0,3778.0,21.9162,95.956
,Burundi,14781.0,0.0,-3.3731,29.9189
,Cabo Verde,6226.0,38.0,16.5388,-23.0418
,Cambodia,26983.0,1096.0,11.55,104.9167
,Cameroon,25157.0,494.0,3.848,11.5021
Alberta,Canada,107378.0,927.0,53.9333,-116.5765
British Columbia,Canada,87996.0,605.0,53.7267,-127.6476
Diamond Princess,Canada,0.0,0.0,,
Grand Princess,Canada,0.0,0.0,,
Manitoba,Canada,21337.0,202.0,53.7609,-98.8139
New Brunswick,Canada,11498.0,114.0,46.5653,-66.4619
